x,y,z,,dy/dx,d2y/dx2,radio_inst,,
0,0,0,,,,8000,,
-3.9788,3.2256,0.035738,,,,8000,,
-7.8157,6.3196,0.10497,,-0.806380151,,8000,,
-11.796,9.4274,0.10772,,-0.780795417,-0.00642784,317.708364,,
-15.703,12.473,0.14341,,-0.779523931,-0.000325438,6263.572957,,
-19.61,15.532,0.18539,,-0.782953673,0.000877845,2333.674176,,
-23.545,18.747,0.24281,,-0.817026684,0.008658961,248.6827877,,
-27.356,21.859,0.26534,,-0.816583574,-0.000116271,18507.86401,,
-31.319,25.043,0.30621,,-0.803431744,-0.003318655,636.0418968,,
-35.196,28.083,0.34432,,-0.784111426,-0.004983316,411.7864527,,
-39.14,31.14,0.36324,,-0.77510142,-0.002284484,886.5641731,,
-43.066,34.3,0.4084,,-0.804890474,0.007587635,278.785111,,
-47.067,37.334,0.44874,,-0.758310422,-0.011642102,169.7867426,,
-50.962,40.342,0.50745,,-0.772272144,0.003584524,562.7076426,,
-54.922,43.411,0.52866,,-0.775,0.000688853,2939.734458,,
-58.921,46.46,0.54874,,-0.76244061,-0.003140633,633.1560055,,
-62.793,49.602,0.58008,,-0.811466942,0.012661759,168.6827817,,
-66.742,52.709,0.60309,,-0.786781464,-0.006251071,329.5535127,,
-70.602,55.808,0.64756,,-0.802849741,0.004162766,506.635508,,
-74.579,58.888,0.69913,,-0.774453105,-0.007140215,283.3858265,,
-78.573,61.977,0.73437,,-0.773410115,-0.000261139,7736.767245,,
-82.512,65.063,0.77665,,-0.783447576,0.002548226,804.5123396,,
-86.508,67.97,0.80147,,-0.727477477,-0.014006531,135.0130811,,
-90.522,71.083,0.8308,,-0.775535625,0.011972633,169.2710369,,
-94.525,73.975,0.85947,,-0.722458156,-0.013259423,141.6035561,,
-98.834,76.57,0.91471,,-0.602227895,-0.027902126,57.01022815,,
-102.83,79.515,0.987,,-0.736986987,0.033723496,56.84333397,,
-107.06,82.205,1.0446,,-0.635933806,-0.023889641,69.6677984,,
-111.16,85.003,1.1265,,-0.682439024,0.011342736,156.4444043,,
-115.48,87.617,1.1976,,-0.605092593,-0.017904267,89.18357264,,
-119.79,90.149,1.2977,,-0.587470998,-0.004088537,381.5703798,,
-123.96,92.899,1.4261,,-0.659472422,0.017266529,99.54722998,,
-128.14,95.604,1.5534,,-0.647129187,-0.002952927,572.2925636,,
-132.36,98.247,1.7003,,-0.626303318,-0.00493504,332.8801453,,
-136.54,101.04,1.8176,,-0.668181818,0.01001878,173.63926,,
-140.61,103.91,1.8384,,-0.705159705,0.009085476,201.6479877,,
-144.77,106.79,1.8899,,-0.692307692,-0.003089426,582.3742116,,
-148.88,109.63,1.959,,-0.690997567,-0.000318765,5633.91552,,
-152.84,112.65,2.0057,,-0.762626263,0.018088054,109.9645344,,
-156.88,115.6,2.0065,,-0.73019802,-0.008026793,236.511114,,
-160.92,118.56,2.1076,,-0.732673267,0.000612685,3109.517794,,
-164.91,121.5,2.2171,,-0.736842105,0.001044822,1834.340156,,
-168.95,124.44,2.3643,,-0.727722772,-0.002257261,838.0631988,,
-173.04,127.41,2.5291,,-0.726161369,-0.000381761,4944.236206,,
-177.05,130.35,2.6873,,-0.733167082,0.001747061,1091.262181,,
-181.09,133.35,2.8419,,-0.742574257,0.002328509,829.8789649,,
-184.97,136.4,3.0317,,-0.786082474,0.011213458,183.5262896,,
-188.98,139.43,3.1583,,-0.755610973,-0.007598878,259.1153885,,
-192.86,142.49,3.2784,,-0.788659794,0.008517737,242.5189665,,
-196.79,145.56,3.4202,,-0.781170483,-0.001905677,1072.214091,,
-200.77,148.59,3.5219,,-0.761306533,-0.004990942,397.7709203,,
-204.77,151.66,3.6083,,-0.7675,0.001548367,1293.704372,,
-208.78,154.56,3.6875,,-0.72319202,-0.011049372,170.1042408,,
-212.77,157.57,3.8082,,-0.754385965,0.007818031,251.4072362,,
-216.8,160.65,3.9549,,-0.76426799,0.002452115,813.0837256,,
-220.85,163.47,4.0884,,-0.696296296,-0.016783134,107.8056165,,
-224.83,166.6,4.2276,,-0.786432161,0.022647202,90.91690761,,
-228.81,169.62,4.3234,,-0.75879397,-0.006944269,284.8472254,,
-232.82,172.63,4.4291,,-0.750623441,-0.002037538,959.4320025,,
-236.6,175.8,4.4829,,-0.838624339,0.023280661,95.48560268,,
-240.46,179.03,4.5449,,-0.836787565,-0.000475848,4658.93636,,
-244.41,182.11,4.61,,-0.779746835,-0.014440691,141.2027548,,
-248.4,185.12,4.648,,-0.754385965,-0.006356108,309.2316362,,
-252.4,188.1,4.6728,,-0.745,-0.002346491,826.3939485,,
-256.52,190.85,4.6917,,-0.667475728,-0.018816571,92.36286835,,
-260.66,193.73,4.7362,,-0.695652174,0.006805905,265.6043043,,
-264.94,196.23,4.7312,,-0.58411215,-0.026060753,59.60010685,,
-269.2,199,4.7492,,-0.650234742,0.015521735,109.3397062,,
-273.35,201.64,4.7603,,-0.636144578,-0.00339522,490.3409096,,
-277.48,204.54,4.7026,,-0.702179177,0.015989007,114.1017959,,
-281.56,207.44,4.6628,,-0.710784314,0.002109102,875.5881929,,
-285.53,210.44,4.5688,,-0.755667506,0.01130559,174.1746252,,
-289.57,213.47,4.3908,,-0.75,-0.001402848,1392.256944,,
-293.48,216.51,4.1747,,-0.777493606,0.007031613,289.0367954,,
-297.25,219.73,3.9563,,-0.854111406,0.020323024,111.9166996,,
-300.61,223.48,3.7561,,-1.116071429,0.077964292,43.16257387,,
-302.62,228.01,3.5984,,-2.253731343,0.565999958,26.48283635,,
-302.36,233,3.5353,,19.19230769,82.48476552,86.05458569,,
-301.29,237.9,3.4615,,4.579439252,-13.65688639,7.541033378,,
-299.38,242.57,3.4505,,2.445026178,-1.117493756,16.49550542,,
-297.13,247.07,3.4657,,2,-0.197789412,56.52648314,,
-294.27,251.1,3.5032,,1.409090909,-0.20661157,24.96773176,,
-290.64,254.54,3.4511,,0.947658402,-0.127116393,20.57131833,,
-286.78,257.66,3.3952,,0.808290155,-0.036105763,58.87947915,,
-282.41,260.21,3.3656,,0.583524027,-0.051433897,30.17525449,,
-277.78,261.93,3.2732,,0.371490281,-0.045795626,26.5089347,,
-273.03,263.51,3.1978,,0.332631579,-0.008180779,143.0762331,,
-268.1,264.44,3.1787,,0.188640974,-0.029207019,36.08208714,,
-263.09,264.89,3.3637,,0.089820359,-0.019724674,51.31268304,,
-258.1,264.96,3.6768,,0.014028056,-0.015188838,65.85725476,,
-253.07,264.74,4.0237,,-0.043737575,-0.011484221,87.32597986,,
-248.1,264.3,4.3273,,-0.088531187,-0.009012799,112.2603121,,
-243.25,263.53,4.5621,,-0.158762887,-0.014480763,71.68446528,,
-238.35,262.6,4.7456,,-0.189795918,-0.006333272,166.5043749,,
-233.38,261.58,4.8381,,-0.205231388,-0.003105728,342.5414089,,
-228.66,260.19,4.8199,,-0.294491525,-0.018911046,59.90514052,,
-223.79,258.73,4.8295,,-0.299794661,-0.00108894,1044.870218,,
-219.04,257.51,4.8346,,-0.256842105,0.009042643,121.7084601,,
-214.11,256.22,4.8057,,-0.261663286,-0.000977927,1129.368286,,
-209.57,254.14,4.7223,,-0.45814978,-0.043278963,30.75020549,,
-205.27,251.6,4.6332,,-0.590697674,-0.030825092,50.82492188,,
-201.16,248.72,4.5413,,-0.700729927,-0.026771838,68.00613344,,
-197.23,245.77,4.4621,,-0.750636132,-0.01269878,153.9451158,,
-193.52,242.38,4.3114,,-0.913746631,-0.043965094,56.53563546,,
-189.84,238.99,4.2162,,-0.921195652,-0.002024191,1241.690965,,
-186.19,235.63,4.134,,-0.920547945,0.000177454,14150.0739,,
-182.53,232.19,4.0624,,-0.93989071,-0.005284909,489.0739026,,
-179.1,228.58,3.9909,,-1.052478134,-0.032824322,93.22246693,,
-175.81,224.84,3.9346,,-1.136778116,-0.025623095,135.445789,,
-172.33,221.13,3.8595,,-1.066091954,0.020312115,153.7499782,,
-168.81,217.53,3.8051,,-1.022727273,0.012319512,237.550385,,
-165.28,214.02,3.7335,,-0.994334278,0.008043341,348.6724418,,
-161.74,210.5,3.6563,,-0.994350282,-4.52115E-06,620320.0019,,
-158.13,207.15,3.599,,-0.927977839,0.018385718,138.0985018,,
-154.27,203.9,3.5572,,-0.841968912,0.022282106,100.2589583,,
-150.64,200.43,3.5131,,-0.955922865,-0.031392274,84.337,,
-146.99,197.03,3.4391,,-0.931506849,0.006689319,381.5755112,,
-143.27,193.8,3.3567,,-0.86827957,0.01699658,136.6624438,,
-139.26,190.8,3.2757,,-0.748129676,0.029962567,65.01023833,,
-135.28,187.71,3.2379,,-0.77638191,-0.007098551,285.8489684,,
-131.33,184.68,3.1674,,-0.767088608,0.002352735,850.8971912,,
-127.51,181.37,3.0848,,-0.866492147,-0.026021869,89.02654884,,
-123.59,178.37,2.9922,,-0.765306122,0.025812761,77.35606831,,
-119.69,175.27,2.9465,,-0.794871795,-0.007580942,274.9702389,,
-115.75,172.16,2.8593,,-0.789340102,0.001403983,1472.784153,,
-111.64,169.17,2.7651,,-0.727493917,0.015047733,125.6740289,,
-107.55,166.34,2.6997,,-0.69193154,0.008694958,206.8155298,,
-103.48,163.44,2.6199,,-0.712530713,-0.005061222,365.7775533,,
-99.422,160.63,2.5204,,-0.69245934,0.004946124,363.8374409,,
-95.241,157.85,2.4145,,-0.6649127,0.006588529,262.8503932,,
-90.944,155.24,2.3246,,-0.607400512,0.013384265,119.66851,,
-86.683,152.75,2.2181,,-0.584369866,0.005404986,287.4654634,,
-82.152,150.51,2.1146,,-0.494372103,0.019862671,69.88827616,,
-77.793,148.14,2.038,,-0.543702684,-0.011316949,130.3116935,,
-73.328,145.81,1.9449,,-0.521836506,0.00489724,293.0486371,,
-68.857,143.58,1.8925,,-0.49876985,0.005159172,270.4857731,,
-64.458,141.13,1.8092,,-0.55694476,-0.013224576,113.4013964,,
-60.048,138.8,1.709,,-0.528344671,0.006485281,223.0757933,,
-55.527,136.76,1.6652,,-0.451227605,0.017057524,77.41243194,,
-51.014,134.61,1.5816,,-0.476401507,-0.005578086,243.6461466,,
-46.536,132.44,1.4836,,-0.484591335,-0.001828903,750.2731048,,
-41.74,130.75,1.4271,,-0.352376981,0.02756763,43.23627631,,
-36.978,129.52,1.3237,,-0.258294834,0.019756856,55.76420586,,
-32.16,128.25,1.2147,,-0.263594853,-0.001100045,1005.425225,,
-27.106,127.53,1.1747,,-0.142461417,0.023967835,42.99916301,,
-22.144,127.19,1.0693,,-0.068520758,0.014901382,67.58103923,,
-17.238,126.62,0.9783,,-0.116184264,-0.00971535,105.0210613,,
-12.268,126.12,0.87326,,-0.100603622,0.003134938,323.8405176,,
-7.2985,125.73,0.80079,,-0.07847872,0.004452138,226.6894006,,
-2.2698,125.28,0.67547,,-0.089486348,-0.002188961,462.3361156,,
2.7483,124.94,0.61633,,-0.067754728,0.004330647,232.5042693,,
7.7174,124.66,0.53173,,-0.056348232,0.002295485,437.7141864,,
12.723,124.36,0.42591,,-0.059932875,-0.000716127,1403.931675,,
17.624,123.91,0.38467,,-0.091817996,-0.00650584,155.6559113,,
22.623,122.91,0.25097,,-0.200040008,-0.021648732,48.99227066,,
27.324,121.41,0.185,,-0.319081047,-0.025322493,45.6725451,,
32.184,119.99,0.094467,,-0.29218107,0.005534975,204.2918086,,
36.999,118.61,0.0042468,,-0.286604361,0.001158195,971.9518626,,
41.577,116.85,-0.087749,,-0.384447357,-0.021372432,57.53673955,,
46.278,115.1,-0.15127,,-0.372261221,0.002592243,468.6716181,,
50.923,113.23,-0.19791,,-0.402583423,-0.006527923,191.9001565,,
55.74,111.82,-0.29861,,-0.292713307,0.022808826,49.59643582,,
60.202,109.54,-0.35415,,-0.510981623,-0.048917148,28.95104895,,
64.691,107.48,-0.43642,,-0.458899532,0.011602159,114.8037741,,
69.213,105.21,-0.50071,,-0.50199027,-0.009529133,147.011098,,
73.646,102.94,-0.5167,,-0.512068577,-0.002273473,623.7488578,,
77.932,100.31,-0.56259,,-0.613625758,-0.023695096,68.15899175,,
82.079,97.516,-0.6105,,-0.673740053,-0.014495851,120.9398931,,
86.133,94.711,-0.64431,,-0.691909225,-0.004481789,401.2228091,,
89.98,91.413,-0.66497,,-0.857291396,-0.042989907,53.15735887,,
93.661,87.977,-0.67766,,-0.933441999,-0.020687477,123.7406679,,
97.175,84.481,-0.70386,,-0.994877632,-0.017483106,160.542309,,
100.54,80.852,-0.69959,,-1.078454681,-0.024837161,128.0861713,,
104.03,77.161,-0.70008,,-1.057593123,0.005977524,515.8487616,,
107.21,73.405,-0.72612,,-1.181132075,-0.038848727,95.4116339,,
110.24,69.34,-0.75503,,-1.341584158,-0.052954483,88.4705982,,
113.12,65.234,-0.74512,,-1.425694444,-0.02920496,180.8285802,,
115.62,60.98,-0.72702,,-1.7016,-0.110362222,69.66502071,,
118.21,56.684,-0.72219,,-1.658687259,0.016568626,438.5068438,,
120.63,52.367,-0.74177,,-1.783884298,-0.051734314,165.3237442,,
123.05,47.957,-0.74645,,-1.82231405,-0.015880063,565.585577,,
125.11,43.341,-0.78183,,-2.240776699,-0.203137208,72.73143219,,
127.06,38.766,-0.79228,,-2.346153846,-0.054039563,306.9748735,,
128.85,34.156,-0.79059,,-2.575418994,-0.128081088,164.6415187,,
130.6,29.365,-0.80498,,-2.737714286,-0.092740166,266.9828108,,
132.27,24.768,-0.81388,,-2.752694611,-0.008970255,2800.420395,,
134.07,20.01,-0.82108,,-2.643333333,0.060756265,371.5366627,,
135.79,15.321,-0.85434,,-2.726162791,-0.048156661,508.4364905,,
137.54,10.636,-0.87037,,-2.677142857,0.028011391,833.2333649,,
139.29,6.0173,-0.8898,,-2.639257143,0.02164898,1038.47659,,
140.72,1.1394,-0.91711,,-3.411118881,-0.539763453,83.21414101,,
142.24,-3.5145,-0.941,,-3.061776316,0.229830635,145.3922394,,
143.79,-8.2819,-0.95908,,-3.075741935,-0.009010077,3754.747617,,
145.52,-12.965,-0.97259,,-2.70699422,0.213148969,112.7492286,,
147.11,-17.767,-0.9977,,-3.020125786,-0.196938092,163.4992234,,
148.48,-22.529,-1.0021,,-3.475912409,-0.332690965,142.2225857,,
150,-27.296,-1.0205,,-3.136184211,0.223505394,159.5859044,,
151.4,-32.127,-1.03,,-3.450714286,-0.224664339,206.4075021,,
152.83,-36.929,-1.0475,,-3.358041958,0.064805824,663.7353398,,
154.19,-41.764,-1.0488,,-3.555147059,-0.144930221,347.5507353,,
155.61,-46.585,-1.0607,,-3.395070423,0.112730026,393.2829997,,
157.08,-51.277,-1.0603,,-3.191836735,0.138254209,270.6698884,,
158.7,-56.037,-1.0762,,-2.938271605,0.156521685,191.0282434,,
160.25,-60.749,-1.0899,,-3.04,-0.065631223,499.3915852,,
161.77,-65.557,-1.0865,,-3.163157895,-0.081024931,450.6091601,,
163.35,-70.254,-1.1233,,-2.97278481,0.120489294,256.0797964,,
164.86,-75.007,-1.1057,,-3.147682119,-0.115826033,311.032452,,
166.32,-79.873,-1.1309,,-3.332876712,-0.126845612,332.1519341,,
167.92,-84.58,-1.1516,,-2.941875,0.24437607,122.7565503,,
169.57,-89.311,-1.1333,,-2.867272727,0.045213499,619.3223956,,
171.08,-94.104,-1.1306,,-3.174172185,-0.203244674,181.3502406,,
172.47,-98.845,-1.1343,,-3.410791367,-0.170229627,263.7851018,,
173.85,-103.7,-1.1496,,-3.518115942,-0.077771431,629.1074182,,
175.17,-108.46,-1.2185,,-3.606060606,-0.066624745,786.5518972,,
176.63,-113.27,-1.294,,-3.294520548,0.213383601,191.2621176,,
178.38,-117.98,-1.3496,,-2.691428571,0.344623987,68.68227954,,
179.83,-122.8,-1.4133,,-3.324137931,-0.436351282,95.86024357,,
181.31,-127.53,-1.4789,,-3.195945946,0.086616206,433.5565633,,
182.88,-132.28,-1.4778,,-3.025477707,0.108578496,297.9756822,,
184.69,-136.94,-1.4619,,-2.574585635,0.249111642,84.57927339,,
186.34,-141.61,-1.4065,,-2.83030303,-0.154980239,174.5240735,,
187.98,-146.32,-1.3362,,-2.87195122,-0.025395237,1107.456734,,
189.82,-151.07,-1.2712,,-2.581521739,0.157842109,134.4256053,,
191.95,-155.6,-1.2374,,-2.126760563,0.213502899,60.795554,,
193.34,-160.36,-1.1685,,-3.424460432,-0.933597028,48.63243157,,
193.81,-165.34,-1.0986,,-10.59574468,-15.25805159,79.00819718,,
193.79,-170.31,-1.0041,,248.5,-12954.78723,1184.566493,,
193.37,-175.26,-0.92332,,11.78571429,563.6054422,2.936064879,,
192.29,-180.14,-0.88023,,4.518518519,6.72888497,14.7297421,,
190.13,-184.71,-0.91493,,2.115740741,1.112397119,11.52067687,,
186.98,-188.65,-0.9995,,1.250793651,0.274586378,14.95619762,,
182.83,-191.27,-1.0491,,0.631325301,0.149269482,11.08041557,,
178.21,-193.33,-1.1572,,0.445887446,0.040138064,32.70183825,,
173.39,-194.54,-1.2352,,0.251037344,0.040425332,27.11180305,,
168.4,-195.33,-1.2925,,0.158316633,0.018581305,55.8534962,,
163.47,-195.74,-1.2543,,0.0831643,0.015243881,66.28183285,,
158.44,-195.63,-1.2889,,-0.021868787,0.02088133,47.92402949,,
153.52,-194.61,-1.2424,,-0.207317073,0.037692741,28.2589799,,
148.87,-192.88,-1.2007,,-0.372043011,0.035424933,34.28802357,,
144.65,-190.26,-1.1524,,-0.620853081,0.058959732,27.65889352,,
141.27,-186.52,-1.0711,,-1.106508876,0.143685147,23.08853058,,
138.76,-182.25,-1.0818,,-1.701195219,0.23692683,32.43325824,,
137.12,-177.54,-1.0683,,-2.87195122,0.71387561,39.39639649,,
135.63,-172.69,-1.0743,,-3.255033557,0.25710224,153.5726743,,
134.49,-167.89,-1.0607,,-4.210526316,0.838151543,96.70146472,,
133.1,-163.08,-1.0466,,-3.460431655,-0.539636447,86.6042194,,
131.72,-158.19,-1.0469,,-3.543478261,0.0601787,829.4037288,,
130.52,-153.37,-1.049,,-4.016666667,0.394323671,179.854169,,
129.28,-148.57,-1.0506,,-3.870967742,-0.117499133,543.8880173,,
127.75,-143.83,-1.0674,,-3.098039216,-0.505182043,68.29337281,,
126.33,-139,-1.0704,,-3.401408451,0.213640306,208.5921349,,
124.71,-134.24,-1.0248,,-2.938271605,-0.285886942,104.5870174,,
123.17,-129.47,-1.0326,,-3.097402597,0.103331813,333.695176,,
121.78,-124.76,-1.0105,,-3.388489209,0.209414828,210.5772669,,
120.3,-119.9,-0.99422,,-3.283783784,-0.070746909,571.7279088,,
118.59,-115.24,-0.98019,,-2.725146199,-0.326688646,74.87395108,,
116.56,-110.64,-0.93839,,-2.266009852,-0.22617554,67.18232757,,
114.07,-106.33,-0.93409,,-1.730923695,-0.214894039,37.17317335,,
111.63,-101.92,-0.92035,,-1.807377049,0.031333342,281.2664789,,
109.22,-97.547,-0.9174,,-1.814522822,0.002965051,2999.385361,,
106.69,-93.298,-0.93492,,-1.67944664,-0.053389795,139.8714403,,
103.95,-89.049,-0.91239,,-1.550729927,-0.046976903,133.7352857,,
101.16,-84.929,-0.89661,,-1.476702509,-0.026533125,213.7890637,,
98.194,-80.909,-0.85047,,-1.355360755,-0.040910908,116.8020649,,
94.855,-77.107,-0.81659,,-1.138664271,-0.064898618,53.62659276,,
91.521,-73.464,-0.76624,,-1.092681464,-0.013792084,235.6193918,,
87.759,-70.143,-0.78241,,-0.88277512,-0.055796476,42.53672342,,
83.954,-66.996,-0.77116,,-0.827069645,-0.014640072,149.2749767,,
79.898,-63.909,-0.73442,,-0.761094675,-0.016266018,122.0116497,,
75.937,-60.909,-0.71422,,-0.757384499,-0.000936677,2107.486668,,
72.186,-57.688,-0.70423,,-0.858704346,0.027011423,84.7797633,,
68.307,-54.544,-0.66556,,-0.810518175,-0.012422318,171.6949117,,
64.293,-51.439,-0.63987,,-0.773542601,-0.009211653,219.3702209,,
60.331,-48.364,-0.60605,,-0.77612317,0.00065133,3114.167859,,
56.372,-45.45,-0.59789,,-0.736044456,-0.010123444,189.1025951,,
52.272,-42.546,-0.54782,,-0.708292683,-0.006768725,271.8683061,,
48.346,-39.438,-0.49583,,-0.791645441,0.021230962,97.72204008,,
44.435,-36.395,-0.46034,,-0.778061877,-0.003473169,585.6538108,,
40.593,-33.166,-0.41838,,-0.840447683,0.016237847,137.2696801,,
36.546,-30.141,-0.363,,-0.74746726,-0.022975148,84.70100023,,
31.191,-25.845,-0.32049,,-0.802240896,0.010228504,206.0052624,,
27.834,-23.114,-0.28726,,-0.81352398,0.003361061,637.3823187,,
24.478,-20.381,-0.25818,,-0.814362336,0.000249808,8586.269583,,
20.972,-17.571,-0.22964,,-0.801483172,-0.003673464,572.9712381,,
17.142,-14.446,-0.17512,,-0.815926893,0.003771207,570.0713368,,
13.249,-11.294,-0.12472,,-0.809658361,-0.001610206,1322.911251,,
9.2758,-8.1549,-0.10287,,-0.790068459,-0.00493051,419.8273121,,
5.4407,-5.0252,-0.048184,,-0.816067378,0.006779202,317.190805,,
1.588,-1.9047,-0.01308,,-0.809951463,-0.001587436,1342.464023,,
